url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_question_marks,num_equals,num_at,num_ampersand,num_exclamation,num_percent,num_digits,special_char_count,num_subdomains,has_https,has_ip,suspicious_keyword_count,has_shortener,has_redirect,has_at_symbol,suspicious_tld,legitimate_tld,url_entropy,domain_entropy,has_encoding,digit_ratio,label
36,10,8,1,1,0,4,0,2,0,0,0,0,2,15,1,1,0,1,0,0,0,0,1,2.942,2.1765,0,0.0146,0
200,18,52,4,7,2,5,4,3,1,1,1,0,13,56,3,0,1,2,0,0,0,0,0,4.1122,3.5367,0,0.1993,1
42,11,3,3,0,0,3,0,2,0,0,0,0,4,14,1,1,0,1,0,0,0,0,1,3.1553,2.6086,0,0.0504,0
42,10,3,3,0,0,3,0,1,0,0,0,0,1,13,0,1,0,0,0,0,0,0,1,3.6221,3.4793,0,0.0148,0
180,23,41,8,6,2,5,2,6,1,2,0,2,14,27,5,0,0,4,1,1,0,1,0,4.7962,3.519,0,0.1402,1
43,15,6,1,1,0,4,0,0,0,0,0,0,2,10,0,1,0,1,0,0,0,0,1,3.7431,2.6775,0,0.0267,0
38,13,13,1,0,0,4,0,2,0,0,0,0,1,20,0,1,0,1,0,0,0,0,1,2.9413,2.812,0,0.0344,0
47,17,18,1,1,0,2,0,1,0,0,0,0,0,8,1,1,0,0,0,0,0,0,1,3.6892,2.844,0,0.0552,0
27,7,4,2,1,0,1,0,0,0,0,0,0,2,11,1,1,0,0,0,0,0,0,1,2.5622,2.5343,0,0.0028,0
32,10,0,3,0,0,1,0,1,0,0,0,0,3,20,1,1,0,1,0,0,0,0,1,3.6509,3.1842,0,0.0758,0
195,25,27,9,6,1,10,4,2,1,2,0,1,16,38,3,1,1,4,1,0,0,1,0,5.0474,3.7642,1,0.1677,1
24,14,0,2,0,0,4,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,1,3.2434,3.1013,0,0.0255,0
53,18,8,2,0,0,3,0,1,0,0,0,0,3,17,1,1,0,0,0,0,0,0,1,3.0428,2.6461,0,0.0568,0
60,12,16,2,1,0,1,0,1,0,0,0,0,3,11,0,1,0,0,0,0,0,0,1,3.5604,2.6957,0,0.0264,0
111,24,61,9,3,2,7,4,2,1,1,1,0,5,21,4,1,1,4,1,1,1,1,0,4.1048,4.2525,0,0.2784,1
49,20,3,3,0,0,2,0,0,0,0,0,0,3,15,1,1,0,1,0,0,0,0,1,3.742,2.8972,0,0.0434,0
52,20,14,1,1,0,2,0,1,0,0,0,0,4,5,1,1,0,0,0,0,0,0,1,3.4024,2.6836,0,0.0596,0
180,45,25,8,6,2,5,2,6,0,2,0,1,17,38,2,1,1,6,1,0,1,0,0,5.0837,4.8865,0,0.1867,1
24,20,7,2,0,0,2,0,1,0,0,0,0,1,17,1,1,0,1,0,0,0,0,1,3.0312,3.1235,0,0.0429,0
36,15,10,1,0,0,2,0,1,0,0,0,0,4,19,1,1,0,1,0,0,0,0,1,3.2874,2.1634,0,0.0335,0
47,12,2,1,1,0,1,0,2,0,0,0,0,4,16,1,1,0,1,0,0,0,0,1,2.6999,3.2775,0,0.0619,0
197,48,58,8,7,3,3,1,6,1,0,0,1,9,35,3,0,0,2,1,1,0,0,0,4.9771,4.8222,1,0.2304,1
177,48,61,4,6,0,10,1,3,0,0,0,0,15,38,2,1,1,2,1,0,1,0,0,4.8422,3.638,0,0.1916,1
20,7,4,3,1,0,3,0,0,0,0,0,0,4,9,1,1,0,1,0,0,0,0,1,3.5504,2.1885,0,0.0717,0
81,32,35,10,6,0,3,4,4,0,1,0,2,9,47,4,1,0,6,0,0,0,1,0,4.442,3.6875,1,0.3136,1
137,22,46,6,4,3,7,3,6,0,2,0,1,20,50,2,1,0,2,1,1,1,0,0,4.8349,4.8417,1,0.2304,1
58,15,14,3,0,0,4,0,2,0,0,0,0,1,17,1,1,0,1,0,0,0,0,1,3.3728,2.5717,0,0.0293,0
61,35,52,10,3,1,4,4,3,1,2,1,2,20,51,4,1,1,3,0,0,0,1,0,5.2101,4.0969,0,0.1767,1
114,41,78,4,7,3,9,4,3,1,1,0,0,20,51,4,0,1,5,1,1,1,0,0,5.4692,4.4606,1,0.2703,1
165,40,31,9,3,3,7,1,5,1,2,0,0,16,55,4,0,0,3,0,1,1,1,0,5.3411,4.0768,1,0.2052,1
89,37,62,5,3,3,6,4,4,0,2,1,1,18,44,2,1,0,6,1,1,1,0,0,4.0279,4.606,0,0.226,1
178,43,34,10,6,0,3,1,6,0,0,1,2,5,43,4,0,1,5,0,0,1,1,0,4.7428,3.6067,1,0.2526,1
76,20,52,4,4,2,5,3,5,1,2,1,0,17,50,2,0,0,6,1,0,0,1,0,5.4878,3.6029,1,0.2542,1
55,18,10,2,1,0,2,0,0,0,0,0,0,2,14,0,1,0,0,0,0,0,0,1,3.5004,3.2841,0,0.0547,0
57,12,19,1,0,0,2,0,2,0,0,0,0,2,15,0,1,0,1,0,0,0,0,1,3.7511,3.1732,0,0.0783,0
34,12,11,3,1,0,4,0,1,0,0,0,0,2,10,1,1,0,0,0,0,0,0,1,3.3349,3.3228,0,0.0676,0
129,48,47,4,7,0,9,1,5,1,2,0,0,10,52,5,0,1,5,1,1,0,1,0,4.7804,4.2429,0,0.1878,1
50,11,11,3,0,0,4,0,2,0,0,0,0,3,12,1,1,0,0,0,0,0,0,1,2.9309,3.0148,0,0.035,0
80,43,79,9,3,3,7,3,5,1,0,0,0,9,55,3,1,0,2,1,1,1,0,0,4.1477,4.2581,1,0.2313,1
47,13,12,1,1,0,2,0,1,0,0,0,0,0,16,1,1,0,1,0,0,0,0,1,3.072,3.1403,0,0.0708,0
32,17,17,2,0,0,2,0,0,0,0,0,0,3,16,0,1,0,0,0,0,0,0,1,3.1196,2.6486,0,0.0016,0
33,9,6,3,1,0,2,0,2,0,0,0,0,4,7,0,1,0,1,0,0,0,0,1,2.686,3.0404,0,0.0153,0
40,11,8,3,0,0,1,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,1,2.7651,3.0278,0,0.0127,0
128,20,45,8,3,0,5,2,5,0,0,1,0,14,52,5,1,0,2,1,0,1,1,0,5.2751,4.1259,1,0.2557,1
100,44,53,5,7,3,4,2,5,0,2,1,2,14,60,2,0,0,3,1,0,1,0,0,5.3068,4.0053,1,0.1418,1
67,22,47,8,4,2,7,4,2,0,1,1,2,15,24,4,0,0,5,1,1,0,0,0,5.4645,4.5539,0,0.384,1
99,41,65,4,4,0,9,4,4,1,2,1,2,15,42,3,1,1,6,0,1,0,1,0,4.6776,4.4033,1,0.379,1
112,33,16,5,6,2,6,4,3,1,1,1,2,11,54,5,1,1,3,0,0,1,0,0,5.0774,3.849,1,0.269,1
56,10,13,2,0,0,1,0,2,0,0,0,0,1,18,1,1,0,0,0,0,0,0,1,2.7704,3.3654,0,0.025,0
29,19,16,3,1,0,2,0,1,0,0,0,0,3,14,1,1,0,1,0,0,0,0,1,3.2343,2.9027,0,0.0496,0
49,7,3,1,1,0,2,0,1,0,0,0,0,1,16,0,1,0,0,0,0,0,0,1,3.1337,2.6169,0,0.0545,0
39,6,3,2,1,0,4,0,2,0,0,0,0,0,15,0,1,0,1,0,0,0,0,1,2.5821,3.2689,0,0.0528,0
27,19,20,1,0,0,1,0,0,0,0,0,0,3,10,0,1,0,1,0,0,0,0,1,2.6633,2.149,0,0.0348,0
